date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths,hospitalization_need,icu_requirement,hospitalization_need_num,icu_requirement_num
2022-02-17,77565865.0,108080.0,926783.0,3370.0,229288.179,2739.612,12545.0,61859.0,56164.0,0.1395340700744282,0.364950460953008,0.0797502870624855,0.0161733515122921,1.1948335778889334,130808.28571428572,2359.4285714285716,Medium,Medium,0,0
2022-02-18,77671579.0,105714.0,929491.0,2708.0,229600.674,2747.617,11927.0,58681.0,53017.0,0.1362893329430413,0.2921935339772093,0.0755501571559398,0.0153556811301595,1.1966938382957295,117854.0,2317.0,Medium,Medium,0,0
2022-02-19,77772054.0,100475.0,931807.0,2316.0,229897.683,2754.463,11237.0,54814.0,49942.0,0.1293587709862316,0.2491686310034201,0.0704803296052847,0.0144486347242416,1.1981257432136228,108523.28571428572,2279.4285714285716,Medium,Medium,0,0
2022-02-20,77875856.0,103802.0,934116.0,2309.0,230204.526,2761.289,10777.0,52974.0,47651.0,0.133469536499576,0.2477980955283658,0.0680236503596185,0.0138386921872165,1.1994937172825426,101165.14285714286,2196.0,Medium,Medium,0,0
2022-02-21,77916653.0,40797.0,934832.0,716.0,230325.124,2763.405,10453.0,51320.0,45701.0,0.0523872251240487,0.0766500092065653,0.0658652521945469,0.0134156173263756,1.199784595470239,97295.0,2159.8571428571427,Medium,Medium,0,0
2022-02-22,77947827.0,31174.0,935420.0,588.0,230417.276,2765.144,10174.0,49428.0,43475.0,0.0400094187824007,0.0628990021736525,0.0634116458435717,0.0130523202397932,1.2000591113335335,94905.0,2140.0,Medium,Medium,0,0
2022-02-23,77996240.0,48413.0,936520.0,1100.0,230560.387,2768.395,9622.0,47038.0,41224.0,0.0621094928021534,0.1175942357443715,0.0603080353617046,0.0123364921180815,1.20072454774743,76922.14285714286,1872.428571428571,Medium,Medium,0,0
2022-02-24,78111262.0,115022.0,939772.0,3252.0,230900.397,2778.008,9113.0,44380.0,38905.0,0.1474712114327562,0.3472429846666381,0.0568163909578109,0.0116666915457082,1.2031197242722824,77913.85714285714,1855.571428571429,Medium,Medium,0,0
2022-02-25,78184924.0,73662.0,942383.0,2611.0,231118.145,2785.726,8605.0,42035.0,36937.0,0.0943039430088839,0.2778333468117799,0.0537635618856648,0.0110059581307516,1.2053257223860705,73335.0,1841.7142857142856,Medium,Medium,0,0
2022-02-26,78259986.0,75062.0,944871.0,2488.0,231340.032,2793.081,7998.0,39278.0,35208.0,0.0960057210006369,0.2640115536888929,0.050189122190745,0.0102197820480059,1.207348797634592,69704.57142857143,1866.2857142857144,Medium,Medium,0,0
2022-02-27,78334128.0,74142.0,947162.0,2291.0,231559.199,2799.853,7595.0,37964.0,33745.0,0.0947380695928057,0.2424669610983933,0.0484641891973317,0.0096956463216134,1.209130712478219,65467.42857142857,1863.7142857142856,Medium,Medium,0,0
2022-02-28,78359790.0,25662.0,947738.0,576.0,231635.057,2801.556,7358.0,36982.0,32382.0,0.0327596676636267,0.060813250531588,0.0471951239277185,0.0093900200600333,1.209469805878755,63305.28571428572,1843.7142857142856,Medium,Medium,0,0
2022-03-01,78377959.0,18169.0,948098.0,360.0,231688.765,2802.62,7148.0,35342.0,30818.0,0.0231866369218192,0.0379851815586164,0.0450917585133851,0.0091199108667782,1.209648748317113,61447.42857142857,1811.142857142857,Medium,Medium,0,0
2022-03-02,78454196.0,76237.0,950400.0,2302.0,231914.125,2809.425,6797.0,33770.0,29323.0,0.0972684170048367,0.2428019044444772,0.0430442241738096,0.008663653885383,1.211407481634252,65422.28571428572,1982.857142857143,Medium,Medium,0,0
2022-03-03,78518015.0,63819.0,952371.0,1971.0,232102.777,2815.251,6488.0,31996.0,28043.0,0.0813455535252697,0.2073863636363636,0.0407498839597511,0.0082630718568216,1.212933108408306,58107.57142857143,1799.857142857143,Medium,Medium,0,0
2022-03-04,78570799.0,52784.0,953907.0,1536.0,232258.809,2819.792,6039.0,29869.0,26759.0,0.0672253367587043,0.1612816853936123,0.0380153955160873,0.0076860615863152,1.2140731825827558,55125.0,1646.2857142857142,Medium,Medium,0,0
2022-03-05,78622421.0,51622.0,955271.0,1364.0,232411.406,2823.824,5681.0,27801.0,25644.0,0.0657012537189548,0.1429908785657302,0.0353601423695665,0.007225674213212,1.2150109190863,51776.42857142857,1485.7142857142858,Medium,Medium,0,0
